"№","Кол-во структурированных типов","Кол-во полуструктурированных типов","FPD, файлов/д","Кол-во страниц в документе в среднем","Кол-во страниц в документе максимум","Кол-во полей к извлечению в среднем в документе","Кол-во полей к извлечению максимум в документе","Стоимость AFC","Стоимость ML","Стоимость LLM"
"1","20.000","2.000","640.000","30.000","600","38.000","155","12412.711","63217.126","20433.325"
"2","22.000","0.000","4300.000","11.000","100","14.000","32","10849.388","12386.376","34553.425"
"3","0.000","1.000","15000.000","20.000","300","117.000","117","15474.457","25293.489","194240.175"
"4","0.000","1.000","8700.000","5.000","10","252.000","252","11297.210","50443.148","34513.879"
"5","3.000","1.000","6000.000","15.000","20","94.000","121","12048.757","25373.565","62198.362"
"6","3.000","1.000","700.000","2.000","150","34.000","47","9402.510","8950.479","2626.918"
"7","2.000","1.000","14400.000","6.000","50","8.000","9","10559.328","2637.178","52352.274"
"8","3.000","5.000","13000.000","8.000","15","41.000","117","12345.226","38003.136","68237.125"
"9","1.000","0.000","1500.000","1.000","30","17.000","17","8942.466","716.543","1118.921"
"10","12.000","6.000","5000.000","8.000","50","11.000","63","10552.472","20146.545","29719.358"
"11","8.000","2.000","5000.000","3.000","100","25.000","51","10105.135","16952.216","12812.552"
"12","0.000","1.000","500.000","10.000","30","31.000","31","9056.914","1248.076","3483.106"
"13","2.000","9.000","15000.000","3.000","100","28.000","33","9919.526","2850.886","29188.364"
"14","4.000","0.000","10000.000","3.000","10","56.000","86","10178.938","9487.747","21262.435"
"15","3.000","0.000","30000.000","2.000","10","24.000","30","9873.918","3875.675","26157.697"
"16","3.000","6.000","12000.000","6.000","50","37.000","185","11766.582","30064.173","53627.106"
"17","14.000","11.000","2000.000","2.000","10","40.000","60","13351.085","94825.160","19183.053"
"18","9.000","17.000","35000.000","7.000","100","30.000","209","17327.065","88298.845","170109.859"
"19","4.000","0.000","4500.000","5.000","30","45.000","114","9887.849","7269.357","16072.340"
"20","31.000","7.000","25000.000","4.000","50","16.000","145","12853.487","35575.031","65906.852"
"21","1.000","0.000","20.000","1.000","2","43.000","43","8998.599","1672.077","424.147"
